nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
69,60000,592,NULL,NULL,70.86,70.86,1,360,NULL,10/8/04,10/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,93041
70,188000,520,NULL,NULL,59.68,0,1,360,NULL,10/1/04,10/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,92571
71,225000,719,NULL,NULL,75,0,1,360,NULL,10/20/04,11/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91331
72,143000,596,NULL,NULL,65,0,1,360,NULL,12/1/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90031
73,314000,698,NULL,NULL,70.56,0,1,360,60,10/21/04,11/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,93033
74,138600,630,NULL,NULL,70,0,2,360,NULL,11/23/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,Multi,93612
75,297600,NULL,NULL,NULL,80,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,93536
76,102000,542,NULL,NULL,71.83,0,1,360,NULL,11/10/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,93505
77,220000,530,NULL,NULL,62.86,0,1,360,NULL,10/29/04,11/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90255
78,210000,643,NULL,NULL,78.95,0,1,360,NULL,11/22/04,12/1/34,RefiWithCash,Owner,LimitedDocs,Condo,91331
79,348000,641,NULL,NULL,80,0,2,360,NULL,11/22/04,12/1/34,RefiWithCash,Owner,NoDocs,Multi,90018
80,409500,702,NULL,NULL,90,0,2,360,NULL,11/12/04,12/1/34,Purchase,Owner,AllDocs,Multi,90280
81,255000,524,NULL,NULL,71.83,0,1,360,NULL,11/18/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91331
82,200000,590,NULL,NULL,82.64,0,1,360,NULL,11/22/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90044
83,350000,564,NULL,NULL,67.96,0,1,360,NULL,11/16/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90638
84,164000,672,NULL,NULL,80,0,1,360,60,11/30/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,92395
85,198000,551,NULL,NULL,59.73,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91331
86,346500,600,NULL,NULL,90,0,1,360,60,11/19/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,90255
87,308800,668,NULL,NULL,80,100,2,360,60,11/29/04,12/1/34,Purchase,Owner,LimitedDocs,Multi,90716
88,152000,562,NULL,NULL,49.03,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90008
89,207750,558,NULL,NULL,75,0,1,360,60,11/18/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,93550
90,220000,678,NULL,NULL,79.14,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,Condo,93063
91,171000,598,NULL,NULL,95,0,1,360,NULL,11/16/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,92325
92,200000,715,NULL,NULL,55.56,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91402
93,50000,617,NULL,NULL,80.31,80.31,1,240,NULL,11/30/04,12/1/24,Refi,Owner,AllDocs,SingleFamily,93534
