bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
803,3.75,98000,9/1/16,NO,RETAIL,5988031110,FRM,REFINANCE,CA,Aug-46,1,1,31,3.75,360,77,98000,PRINCIPAL,SF,FINANCIALPARTNERSCREDITUNION
771,2.875,114800,9/1/16,YES,RETAIL,5988031111,FRM,PURCHASE,NY,Aug-31,1,1,20,2.875,180,93,114800,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
754,3.625,80000,9/1/16,NO,RETAIL,5988031112,FRM,PURCHASE,WA,Aug-46,1,1,26,3.625,360,32,80000,PRINCIPAL,PUD,SOUNDCOMMUNITYBANK
792,2.875,175000,9/1/16,NO,RETAIL,5988031113,FRM,PURCHASE,CO,Aug-31,2,1,31,2.875,180,50,175000,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
741,4,237500,9/1/16,NO,RETAIL,5988031114,FRM,PURCHASE,TN,Aug-46,2,1,39,4,360,95,237500,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
763,4,195000,9/1/16,NO,RETAIL,5988031115,FRM,PURCHASE,TN,Aug-46,2,1,31,4,360,78,195000,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
770,2.75,143000,9/1/16,NO,RETAIL,5988031116,FRM,REFINANCE,WI,Aug-31,2,1,38,2.75,180,29,143000,SECOND,SF,PEOPLESSTATEBANK
809,3.625,281900,8/1/16,NO,CORRESPONDENT,5988031119,FRM,REFINANCE,CO,Jul-46,2,1,30,3.625,360,67,281900,PRINCIPAL,SF,WEIMORTGAGECORPORATION
775,3.625,396000,8/1/16,NO,CORRESPONDENT,5988031120,FRM,REFINANCE,CA,Jul-46,2,1,41,3.625,360,55,396000,PRINCIPAL,PUD,WEIMORTGAGECORPORATION
767,3.625,327900,8/1/16,NO,CORRESPONDENT,5988031121,FRM,REFINANCE,WA,Jul-46,2,1,26,3.625,360,57,327900,PRINCIPAL,SF,WEIMORTGAGECORPORATION
784,3.625,332400,8/1/16,NO,CORRESPONDENT,5988031123,FRM,REFINANCE,CA,Jul-46,1,1,30,3.625,360,78,332400,PRINCIPAL,SF,WEIMORTGAGECORPORATION
792,3.625,400500,8/1/16,NO,CORRESPONDENT,5988031124,FRM,REFINANCE,CA,Jul-41,1,1,31,3.625,300,76,400500,PRINCIPAL,CONDO,WEIMORTGAGECORPORATION
811,3.5,374700,8/1/16,NO,CORRESPONDENT,5988031125,FRM,REFINANCE,CA,Jul-46,1,1,43,3.5,360,43,374700,PRINCIPAL,SF,WEIMORTGAGECORPORATION
817,3.5,314800,8/1/16,NO,CORRESPONDENT,5988031126,FRM,REFINANCE,CA,Jul-46,1,1,21,3.5,360,43,314800,PRINCIPAL,SF,WEIMORTGAGECORPORATION
768,3.625,417000,8/1/16,NO,CORRESPONDENT,5988031127,FRM,REFINANCE,CA,Jul-46,2,1,22,3.625,360,46,417000,PRINCIPAL,SF,WEIMORTGAGECORPORATION
772,3.625,312000,8/1/16,NO,CORRESPONDENT,5988031128,FRM,REFINANCE,CO,Jul-46,1,1,18,3.625,360,71,312000,PRINCIPAL,PUD,WEIMORTGAGECORPORATION
785,3.625,307900,8/1/16,NO,CORRESPONDENT,5988031129,FRM,REFINANCE,CO,Jul-46,2,1,36,3.625,360,48,307900,PRINCIPAL,PUD,WEIMORTGAGECORPORATION
760,3.625,387500,8/1/16,NO,CORRESPONDENT,5988031130,FRM,REFINANCE,CA,Jul-46,2,1,29,3.625,360,60,387500,PRINCIPAL,PUD,WEIMORTGAGECORPORATION
767,3.875,342700,9/1/16,NO,RETAIL,5988031132,FRM,PURCHASE,TX,Aug-46,2,1,38,3.875,360,57,342700,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
809,3,130000,9/1/16,NO,RETAIL,5988031134,FRM,PURCHASE,IL,Aug-31,2,1,14,3,180,29,130000,PRINCIPAL,PUD,ROUNDPOINTMORTGAGESERVICINGCORPORATIO
755,4,260000,9/1/16,NO,RETAIL,5988031135,FRM,REFINANCE,TN,Aug-46,1,1,34,4,360,80,260000,PRINCIPAL,SF,"PINGORALOANSERVICING,LLC"
798,4.5,50000,9/1/16,NO,BROKER,5988031137,FRM,PURCHASE,FL,Aug-46,1,1,32,4.5,360,24,50000,PRINCIPAL,CONDO,PARKSIDELENDINGLLC
713,3.5,120500,9/1/16,YES,RETAIL,5988031138,FRM,PURCHASE,IA,Aug-46,1,1,30,3.5,360,88,120500,PRINCIPAL,SF,DUPACOCOMMUNITYCREDITUNION
