nb_loan_number nb_original_balance nb_original_fico nb_debt_ratio nb_original_rate nb_original_ltv nb_original_cltv nb_unit_count nb_original_term nb_io_term nb_origination_date nb_maturity_date nb_purpose_code nb_occupancy_code nb_documentation_type_code nb_property_type_code nb_property_zip_code
97 300000.00 683 NULL NULL 59.4100 0.0000 1 360 NULL 2004-11-23 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91405
98 307500.00 610 NULL NULL 56.9400 0.0000 1 360 60 2004-11-30 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 92806
99 253000.00 609 NULL NULL 63.8900 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91331
100 266250.00 563 NULL NULL 75.0000 0.0000 1 360 NULL 2004-12-01 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 90262
101 65000.00 628 NULL NULL 79.6000 79.6000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 93551
102 250000.00 602 NULL NULL 58.8200 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 91605
103 253500.00 763 NULL NULL 65.0000 0.0000 1 360 60 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91342
104 171000.00 599 NULL NULL 58.9700 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 90033
105 248000.00 712 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs PUD 93060
106 175000.00 680 NULL NULL 61.4000 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash NotOwner LimitedDocs SingleFamily 93543
107 233750.00 681 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-30 2034-12-01 Purchase Owner LimitedDocs Condo 91724
108 56865.00 659 NULL NULL 85.0000 0.0000 1 360 NULL 2004-08-23 2034-09-01 RefiWithCash NotOwner AllDocs SingleFamily 61081
109 80100.00 654 NULL NULL 90.0000 0.0000 1 360 NULL 2004-08-09 2034-09-01 RefiWithCash Owner LimitedDocs SingleFamily 61109
110 243000.00 642 NULL NULL 86.7900 0.0000 1 360 NULL 2004-08-11 2034-09-01 RefiWithCash Owner AllDocs SingleFamily 60477
111 224000.00 689 NULL NULL 80.0000 0.0000 2 360 NULL 2004-08-24 2034-09-01 RefiWithCash NotOwner LimitedDocs Multi 60623
112 156000.00 551 NULL NULL 60.0000 0.0000 1 360 NULL 2004-08-17 2034-09-01 RefiWithCash Owner AllDocs SingleFamily 60463
113 185250.00 681 NULL NULL 95.0000 0.0000 2 360 NULL 2004-09-21 2034-10-01 Purchase NotOwner AllDocs Multi 60617
114 54400.00 508 NULL NULL 80.0000 0.0000 1 360 NULL 2004-09-15 2034-10-01 RefiWithCash Owner AllDocs SingleFamily 61101
115 70000.00 524 NULL NULL 56.0000 0.0000 1 180 NULL 2004-10-15 2019-11-01 RefiWithCash Owner LimitedDocs SingleFamily 60411
116 213750.00 511 NULL NULL 75.0000 0.0000 1 360 NULL 2004-09-17 2034-10-01 RefiWithCash Owner LimitedDocs SingleFamily 47403
117 200000.00 529 NULL NULL 80.0000 0.0000 2 360 NULL 2004-10-01 2034-11-01 Refi Owner AllDocs Multi 60651
118 271150.00 595 NULL NULL 85.0000 0.0000 1 360 NULL 2004-10-25 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 60030
119 180500.00 599 NULL NULL 95.0000 0.0000 1 360 NULL 2004-10-29 2034-11-01 Purchase Owner AllDocs SingleFamily 60115
120 180000.00 610 NULL NULL 75.0000 0.0000 1 360 NULL 2004-10-20 2034-11-01 RefiWithCash Owner LimitedDocs Condo 60612
121 297500.00 607 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-16 2034-12-01 Purchase NotOwner LimitedDocs SingleFamily 60612
122 136500.00 564 NULL NULL 70.0000 0.0000 1 360 NULL 2004-12-31 2035-01-01 RefiWithCash Owner AllDocs SingleFamily 60440
123 160000.00 535 NULL NULL 57.1400 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 60004
124 54400.00 657 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash NotOwner AllDocs SingleFamily 46203
