Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score
42423,1,1,1,1,1,0,1,1,1,1,1,5288.920089
42736,1,1,1,1,1,0,1,1,1,1,1,5288.920089
42965,1,1,1,1,1,0,1,1,1,1,1,5288.920089
43838,1,1,1,1,1,0,1,1,1,1,1,5288.920089
44258,1,1,1,1,1,0,1,1,1,1,1,5288.920089
45003,1,1,1,1,1,0,1,1,1,1,1,5288.920089
45780,1,1,1,1,1,0,1,1,1,1,1,5288.920089
45859,1,1,1,1,1,0,1,1,1,1,1,5288.920089
46091,1,1,1,1,1,0,1,1,1,1,1,5288.920089
46299,1,1,1,1,1,0,1,1,1,1,1,5288.920089
46938,1,1,1,1,1,0,1,1,1,1,1,5288.920089
47878,1,1,1,1,1,0,1,1,1,1,1,5288.920089
48276,1,1,1,1,1,0,1,1,1,1,1,5288.920089
48324,1,1,1,1,1,0,1,1,1,1,1,5288.920089
48960,1,1,1,1,1,0,1,1,1,1,1,5288.920089
49483,1,1,1,1,1,0,1,1,1,1,1,5288.920089
49851,1,1,1,1,1,0,1,1,1,1,1,5288.920089
52085,1,1,1,1,1,0,1,1,1,1,1,5288.920089
53020,1,1,1,1,1,0,1,1,1,1,1,5288.920089
54286,1,1,1,1,1,0,1,1,1,1,1,5288.920089
54722,1,1,1,1,1,0,1,1,1,1,1,5288.920089
55966,1,1,1,1,1,0,1,1,1,1,1,5288.920089
56401,1,1,1,1,1,0,1,1,1,1,1,5288.920089
56453,1,1,1,1,1,0,1,1,1,1,1,5288.920089
56517,1,1,1,1,1,0,1,1,1,1,1,5288.920089
56549,1,1,1,1,1,0,1,1,1,1,1,5288.920089
56734,1,1,1,1,1,0,1,1,1,1,1,5288.920089
58260,1,1,1,1,1,0,1,1,1,1,1,5288.920089
58527,1,1,1,1,1,0,1,1,1,1,1,5288.920089
58546,1,1,1,1,1,0,1,1,1,1,1,5288.920089
59434,1,1,1,1,1,0,1,1,1,1,1,5288.920089
60318,1,1,1,1,1,0,1,1,1,1,1,5288.920089
60383,1,1,1,1,1,0,1,1,1,1,1,5288.920089
60771,1,1,1,1,1,0,1,1,1,1,1,5288.920089
61240,1,1,1,1,1,0,1,1,1,1,1,5288.920089
61749,1,1,1,1,1,0,1,1,1,1,1,5288.920089
62254,1,1,1,1,1,0,1,1,1,1,1,5288.920089
63427,1,1,1,1,1,0,1,1,1,1,1,5288.920089
64062,1,1,1,1,1,0,1,1,1,1,1,5288.920089
64671,1,1,1,1,1,0,1,1,1,1,1,5288.920089
65345,1,1,1,1,1,0,1,1,1,1,1,5288.920089
65401,1,1,1,1,1,0,1,1,1,1,1,5288.920089
65779,1,1,1,1,1,0,1,1,1,1,1,5288.920089
65893,1,1,1,1,1,0,1,1,1,1,1,5288.920089
66520,1,1,1,1,1,0,1,1,1,1,1,5288.920089
68142,1,1,1,1,1,0,1,1,1,1,1,5288.920089
68441,1,1,1,1,1,0,1,1,1,1,1,5288.920089
68631,1,1,1,1,1,0,1,1,1,1,1,5288.920089
78187,1,1,1,1,1,0,1,1,1,1,1,5288.920089
88486,1,1,1,1,1,0,1,1,1,1,1,5288.920089
88739,1,1,1,1,1,0,1,1,1,1,1,5288.920089
89224,1,1,1,1,1,0,1,1,1,1,1,5288.920089
89426,1,1,1,1,1,0,1,1,1,1,1,5288.920089
89647,1,1,1,1,1,0,1,1,1,1,1,5288.920089
89702,1,1,1,1,1,0,1,1,1,1,1,5288.920089
89824,1,1,1,1,1,0,1,1,1,1,1,5288.920089
90123,1,1,1,1,1,0,1,1,1,1,1,5288.920089
90190,1,1,1,1,1,0,1,1,1,1,1,5288.920089
