,Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score,reliable
1602,91636,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1603,91660,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1604,91875,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1605,91912,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1606,91978,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1607,92033,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1608,92035,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1609,92036,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1610,92046,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1611,92102,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1612,92131,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1613,92200,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1614,92226,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1615,92242,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1616,92289,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1617,92330,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1618,92346,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1619,92378,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1620,92423,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1621,92451,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1622,92485,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1623,92502,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1624,92552,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1625,92631,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1626,92677,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1627,92696,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1628,92711,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1629,92718,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1630,92719,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1631,92722,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1632,92735,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1633,92745,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1634,92772,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1635,92806,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1636,92829,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1637,92886,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1638,92903,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1639,92907,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1640,92939,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1641,92970,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1642,92975,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1643,93031,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1644,93105,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1645,93134,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1646,93137,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1647,93156,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1648,93196,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1649,93231,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1650,93247,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1651,93254,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1652,93261,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1653,93368,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1654,93404,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1655,93448,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1656,93471,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1657,93479,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1658,93534,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1659,93543,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1660,93566,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1661,93577,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1662,93591,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1663,93614,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1664,93647,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1665,93667,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1666,93738,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1667,93774,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1668,93780,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1669,93853,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1670,93899,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1671,93968,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1672,93990,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1673,94000,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1674,94001,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1675,94075,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1676,94148,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1677,94291,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1678,94317,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1679,94396,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1680,94505,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1681,94612,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1682,94632,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1683,94706,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1684,94774,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1685,94792,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1686,94813,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1687,94830,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1688,94831,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1689,94843,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1690,94873,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1691,94907,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1692,94937,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1693,94975,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
